time_hr,mean_mRNA_nM,stdev_mRNA_nM,mean_MDH_uM,stdev_MDH_uM
0,0,0,0,0
4,0,30.18104085,11.46068615,0.441642466
6,0,46.31148077,15.45104172,0.065263968
